City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
3,Saint George,US,82.99,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
4,Cabo San Lucas,MX,87.62,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
10,Samarai,PG,81.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
12,Kutum,SD,76.87,scattered clouds,14.2,24.6667,Dibbo areaمنطقة دبو
16,Hithadhoo,MV,82.98,scattered clouds,-0.6,73.0833,Scoop Guest House
19,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
22,Rikitea,PF,78.48,clear sky,-23.1203,-134.9692,People ThankYou
26,Puerto Ayora,EC,75.16,light rain,-0.7393,-90.3518,Finch Bay Galapagos Hotel
27,Marawi,PH,77.36,overcast clouds,7.9986,124.2928,Derogongan Residence
28,Atuona,PF,79.57,clear sky,-9.8,-139.0333,Villa Enata
30,Avarua,CK,82.45,overcast clouds,-21.2078,-159.775,Paradise Inn
35,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
36,Tampakan,PH,82.69,overcast clouds,6.4442,124.9264,AJ Hotel
39,Vaini,TO,84.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
41,Cockburn Town,TC,78.76,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
45,Kavieng,PG,85.71,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
49,Trairi,BR,76.5,overcast clouds,-3.2778,-39.2689,janelas do mar
51,Ixtapa,MX,78.22,broken clouds,20.7,-105.2,hotel la terminal
52,Grand Gaube,MU,79.2,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
55,Dingle,PH,83.08,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
58,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
71,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
72,Tevaitoa,PF,81.05,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
74,Rantepao,ID,79.3,moderate rain,-2.9701,119.8978,Hotel Luta Resort
76,Tiruchchendur,IN,80.89,few clouds,8.4833,78.1167,Hotel Udhayam International
85,Matara,LK,79.75,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
86,Tautira,PF,81.36,light rain,-17.7333,-149.15,Pension Oaoa
92,Acarau,BR,78.42,scattered clouds,-2.8856,-40.12,castelo pizzaria
98,Progreso,MX,77.88,clear sky,21.2833,-89.6667,Playa Linda Hotel
101,Belmonte,BR,77.05,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
104,Cayenne,GF,81.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
107,Anito,PH,81.75,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
110,Butaritari,KI,81.93,scattered clouds,3.0707,172.7902,Isles Sunset Lodge
115,Daru,PG,86.61,broken clouds,-9.0763,143.2092,Daru Lodge
117,Bagar,IN,77.77,scattered clouds,28.1874,75.5005,"The Piramal Haveli (20th Century; Shekhavati, Rajasthan)"
126,Atambua,ID,81.81,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
129,Sola,VU,88.47,broken clouds,-13.8833,167.55,Leumerus Bungalows
131,Gat,IL,84.88,scattered clouds,31.61,34.7642,OlusHome
132,Iralaya,HN,79.27,few clouds,15.0,-83.2333,Iglesia morava renovada
134,Sarangani,PH,82.51,broken clouds,5.4033,125.4636,Ballistic Islet
136,Harper,LR,77.65,light rain,4.375,-7.7169,Screensaver
139,Hilo,US,77.29,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
141,Les Cayes,HT,75.79,broken clouds,18.2,-73.75,Villa Orphee
145,Lazaro Cardenas,MX,76.39,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
147,Amuntai,ID,83.86,overcast clouds,-2.4177,115.2494,Hotel Balqis
148,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
153,Mahibadhoo,MV,83.98,broken clouds,3.7833,72.9667,Omadhoo Inn
156,Long Beach,US,77.77,clear sky,33.766999999999996,-118.1892,The Westin Long Beach
165,Isangel,VU,82.18,light rain,-19.55,169.2667,Tanna Lodge
169,Bosaso,SO,84.04,clear sky,11.2842,49.1816,Red Sea Hotel
170,Porto Novo,BJ,84.02,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
176,Labuhan,ID,83.5,broken clouds,-6.8844,112.2051,DoubleFAG
177,Lorengau,PG,83.59,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
178,Kieta,PG,82.8,light rain,-6.2167,155.6333,Uruna Bay Retreat
182,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
185,Garh Maharaja,PK,81.0,scattered clouds,30.8339,71.9053,Zaki Pansar Shop
192,Banda Aceh,ID,81.28,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
197,Punta Cardon,VE,79.68,overcast clouds,11.6581,-70.215,Bambuda hotel
198,Honiara,SB,86.11,broken clouds,-9.4333,159.95,Heritage Park Hotel
203,Kiama,AU,77.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
207,Buala,SB,83.44,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
208,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
210,Nuevo Progreso,MX,80.55,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
215,Sassandra,CI,76.41,overcast clouds,4.95,-6.0833,la terrasse
216,Sarh,TD,87.71,clear sky,9.1429,18.3923,Domicile 1sur le goudron
218,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
221,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
223,Maler Kotla,IN,78.04,clear sky,30.5167,75.8833,Vijay Niwas
228,Mogadishu,SO,82.42,overcast clouds,2.0371,45.3438,Hotel Juba
229,Cairns,AU,86.07,broken clouds,-16.9167,145.7667,Mantra Trilogy Cairns
230,Mahajanga,MG,75.22,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
234,Siocon,PH,83.89,overcast clouds,7.7061,122.1353,ABS Hotel
239,Noumea,NC,84.18,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
241,Green Valley,US,89.44,clear sky,31.8543,-110.9937,Best Western Green Valley Inn
243,Neiafu,TO,86.68,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
250,Alofi,NU,85.89,overcast clouds,-19.0595,-169.9187,Taloa Heights
255,Dalkola,IN,78.24,clear sky,25.85,87.85,Hotel Oasis Palace
257,Pringsewu,ID,79.83,broken clouds,-5.3582,104.9744,Urban Style by Front One
260,Kihei,US,84.22,few clouds,20.785,-156.4656,Maui Sunset
264,Kavaratti,IN,83.17,light rain,10.5669,72.642,Hotels in Lakshadweep Islands
275,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
278,Alim,PH,84.58,broken clouds,9.5649,122.4876,Calamai Tropica
279,Sinjai,ID,81.23,overcast clouds,-5.1241,120.25299999999999,Wisma Sandika
280,Keti Bandar,PK,79.32,clear sky,24.1447,67.4497,Haji laloo memon house
284,Armeria,MX,76.3,overcast clouds,18.9333,-103.9667,Hotel la Herradura
285,Lakatoro,VU,84.69,scattered clouds,-16.0999,167.4164,Lakatoro Palm Lodge
286,Loa Janan,ID,84.02,broken clouds,-0.583,117.095,Kost bu jono
293,El Rosario,MX,81.21,broken clouds,24.2556,-107.1828,Mi casa
