City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bathsheba,BB,13.2167,-59.5167,79.41,73,75,18.41,broken clouds
1,Arraial Do Cabo,BR,-22.9661,-42.0278,72.88,69,0,8.81,clear sky
2,Provideniya,RU,64.3833,-173.3,32.36,86,100,25.01,snow
3,Saint George,US,37.1041,-113.5841,82.99,11,0,11.5,clear sky
4,Cabo San Lucas,MX,22.8909,-109.9124,87.62,52,100,9.15,overcast clouds
5,Hermanus,ZA,-34.4187,19.2345,61.81,81,100,13.44,overcast clouds
6,Pailon,BO,-17.65,-62.75,72.5,53,17,5.35,few clouds
7,Airai,TL,-8.9266,125.4092,71.89,64,100,1.63,overcast clouds
8,Ushuaia,AR,-54.8,-68.3,46.06,93,100,14.97,moderate rain
9,Lompoc,US,34.6391,-120.4579,66.56,67,0,25.99,clear sky
10,Samarai,PG,-10.6167,150.6667,81.97,80,100,10.58,overcast clouds
11,Yellowknife,CA,62.456,-114.3525,19.92,53,20,9.22,few clouds
12,Kutum,SD,14.2,24.6667,76.87,15,47,1.45,scattered clouds
13,Kaitangata,NZ,-46.2817,169.8464,58.48,56,10,3.53,clear sky
14,Chumikan,RU,54.7183,135.315,31.28,82,7,11.1,clear sky
15,Zlitan,LY,32.4674,14.5687,60.24,73,7,12.06,clear sky
16,Hithadhoo,MV,-0.6,73.0833,82.98,75,34,9.78,scattered clouds
17,Geraldton,AU,-28.7667,114.6,63.01,59,0,12.66,clear sky
18,East London,ZA,-33.0153,27.9116,64.36,84,0,11.39,clear sky
19,Bambous Virieux,MU,-20.3428,57.7575,79.05,89,75,1.14,light rain
20,Ulaangom,MN,49.9811,92.0667,46.62,30,99,3.09,overcast clouds
21,Bluff,NZ,-46.6,168.3333,60.8,63,50,4.09,scattered clouds
22,Rikitea,PF,-23.1203,-134.9692,78.48,63,2,10.67,clear sky
23,Ribeira Grande,PT,38.5167,-28.7,58.03,69,98,20.02,overcast clouds
24,Severo-Kurilsk,RU,50.6789,156.125,32.27,80,100,6.49,overcast clouds
25,Lokoshaza,HU,46.4333,21.2333,35.83,67,6,9.08,clear sky
26,Puerto Ayora,EC,-0.7393,-90.3518,75.16,95,100,8.43,light rain
27,Marawi,PH,7.9986,124.2928,77.36,76,100,2.53,overcast clouds
28,Atuona,PF,-9.8,-139.0333,79.57,80,8,17.69,clear sky
29,Shilovo,RU,54.3204,40.874,32.72,95,100,8.61,overcast clouds
30,Avarua,CK,-21.2078,-159.775,82.45,69,100,2.3,overcast clouds
31,Jamestown,US,42.097,-79.2353,37.04,33,0,6.91,clear sky
32,Thompson,CA,55.7435,-97.8558,32.16,29,75,0.0,broken clouds
33,Marquette,US,46.5333,-87.6335,29.82,79,100,3.98,overcast clouds
34,Albany,US,42.6001,-73.9662,40.64,63,7,7.16,clear sky
35,Kapaa,US,22.0752,-159.319,80.58,81,75,19.57,broken clouds
36,Tampakan,PH,6.4442,124.9264,82.69,75,99,1.86,overcast clouds
37,Sorland,NO,67.667,12.6934,42.58,87,100,19.66,overcast clouds
38,Esperance,AU,-33.8667,121.9,58.84,59,67,7.99,broken clouds
39,Vaini,TO,-21.2,-175.2,84.36,84,75,6.91,broken clouds
40,Ponta Do Sol,PT,32.6667,-17.1,66.13,54,49,12.62,scattered clouds
41,Cockburn Town,TC,21.4612,-71.1419,78.76,73,75,9.22,broken clouds
42,Batabano,CU,22.7164,-82.2881,78.73,70,0,11.7,clear sky
43,Mataura,NZ,-46.1927,168.8643,60.48,48,12,2.86,few clouds
44,Bredasdorp,ZA,-34.5322,20.0403,60.39,91,100,4.03,overcast clouds
45,Kavieng,PG,-2.5744,150.7967,85.71,65,30,14.0,scattered clouds
46,Asau,RO,46.4333,26.4,33.28,84,86,4.92,overcast clouds
47,Mendeleyevsk,RU,55.9082,52.2905,34.84,100,100,7.07,light snow
48,Olafsvik,IS,64.8945,-23.7142,42.17,70,100,10.74,overcast clouds
49,Trairi,BR,-3.2778,-39.2689,76.5,91,99,3.6,overcast clouds
50,New Norfolk,AU,-42.7826,147.0587,59.88,64,100,1.99,overcast clouds
51,Ixtapa,MX,20.7,-105.2,78.22,69,75,8.05,broken clouds
52,Grand Gaube,MU,-20.0064,57.6608,79.2,91,12,3.0,few clouds
53,Nikolskoye,RU,59.7035,30.7861,39.7,75,100,3.06,overcast clouds
54,Upernavik,GL,72.7868,-56.1549,-3.05,89,100,13.13,overcast clouds
55,Dingle,PH,10.9995,122.6711,83.08,73,34,12.35,scattered clouds
56,Longyearbyen,SJ,78.2186,15.6401,21.04,86,75,12.66,broken clouds
57,Namibe,AO,-15.1961,12.1522,72.5,78,59,4.45,broken clouds
58,Kloulklubed,PW,7.0419,134.2556,82.9,74,100,4.0,overcast clouds
59,Cherskiy,RU,68.75,161.3,14.85,81,100,4.05,overcast clouds
60,Narsaq,GL,60.9167,-46.05,34.02,90,47,2.42,scattered clouds
61,Stulpicani,RO,47.4667,25.7667,31.39,93,21,3.96,few clouds
62,Norman Wells,CA,65.282,-126.8329,26.64,28,20,6.91,few clouds
63,Zelenoborskiy,RU,66.845,32.3622,33.46,99,100,2.73,overcast clouds
64,Edson,CA,53.5835,-116.4356,37.54,44,100,10.36,overcast clouds
65,Lata,PT,40.1629,-8.3327,58.82,98,40,1.39,scattered clouds
66,Suntar,RU,62.1444,117.6319,40.42,85,99,10.49,overcast clouds
67,Buzmeyin,TM,38.0507,58.2056,51.53,93,100,9.22,light rain
68,Tanout,NE,14.9709,8.8879,79.56,10,100,9.33,overcast clouds
69,Dikson,RU,73.5069,80.5464,-3.59,100,100,3.2,overcast clouds
70,Coatesville,US,39.9832,-75.8238,45.45,52,0,4.61,clear sky
71,Quatre Cocos,MU,-20.2078,57.7625,78.91,87,41,10.89,light rain
72,Tevaitoa,PF,-16.7833,-151.5,81.05,73,18,10.58,light rain
73,Haicheng,CN,40.8516,122.7475,60.93,23,0,10.56,clear sky
74,Rantepao,ID,-2.9701,119.8978,79.3,68,72,1.7,moderate rain
75,Pevek,RU,69.7008,170.3133,10.94,84,29,2.15,scattered clouds
76,Tiruchchendur,IN,8.4833,78.1167,80.89,76,12,6.82,few clouds
77,Michigan City,US,41.7075,-86.895,46.92,79,0,3.44,clear sky
78,Cidreira,BR,-30.1811,-50.2056,67.55,73,65,11.83,broken clouds
79,Carauari,BR,-4.8828,-66.8958,74.61,98,100,1.86,overcast clouds
80,Shihezi,CN,44.3,86.0333,58.87,19,0,2.46,clear sky
81,Victoria,HK,22.2855,114.1577,74.17,77,100,4.0,overcast clouds
82,Chokurdakh,RU,70.6333,147.9167,12.7,89,44,4.79,scattered clouds
83,Laguna,US,38.421,-121.4238,74.43,27,0,10.36,clear sky
84,Khatanga,RU,71.9667,102.5,7.09,95,93,13.2,overcast clouds
85,Matara,LK,5.9485,80.5353,79.75,84,100,6.06,overcast clouds
86,Tautira,PF,-17.7333,-149.15,81.36,72,21,11.25,light rain
87,Bawku,GH,11.0616,-0.2417,90.91,15,100,4.74,overcast clouds
88,Anadyr,RU,64.75,177.4833,32.5,86,75,22.37,light shower snow
89,Hualmay,PE,-11.0964,-77.6139,66.52,84,45,10.04,scattered clouds
90,Cape Town,ZA,-33.9258,18.4232,63.01,79,0,21.85,clear sky
91,Busselton,AU,-33.65,115.3333,61.97,61,91,3.78,overcast clouds
92,Acarau,BR,-2.8856,-40.12,78.42,86,50,6.98,scattered clouds
93,Richards Bay,ZA,-28.783,32.0377,63.43,94,100,4.18,light rain
94,Vestmanna,FO,62.1564,-7.1664,45.52,100,100,8.05,drizzle
95,Iqaluit,CA,63.7506,-68.5145,-6.07,71,40,5.75,scattered clouds
96,Saint Anthony,US,45.0205,-93.218,36.1,91,100,6.91,snow
97,Saint-Philippe,RE,-21.3585,55.7679,74.79,88,14,9.37,light rain
98,Progreso,MX,21.2833,-89.6667,77.88,80,0,15.32,clear sky
99,Satrikh,IN,26.8667,81.2,73.47,11,0,1.16,clear sky
100,Carnarvon,AU,-24.8667,113.6333,66.27,82,96,12.66,overcast clouds
101,Belmonte,BR,-15.8631,-38.8828,77.05,77,100,13.42,overcast clouds
102,Lithakia,GR,37.7167,20.8333,51.17,77,100,7.05,overcast clouds
103,Copiapo,CL,-27.3667,-70.3333,55.09,68,0,1.25,clear sky
104,Cayenne,GF,4.9333,-52.3333,81.09,1,0,5.01,clear sky
105,Nuuk,GL,64.1835,-51.7216,23.88,85,100,4.0,overcast clouds
106,Naze,JP,28.3667,129.4833,70.72,58,32,7.81,scattered clouds
107,Anito,PH,12.4497,125.2886,81.75,71,100,8.3,overcast clouds
108,Opunake,NZ,-39.4556,173.8583,67.84,57,100,2.46,light rain
109,Hobart,AU,-42.8794,147.3294,60.22,82,75,4.61,broken clouds
110,Butaritari,KI,3.0707,172.7902,81.93,72,29,12.71,scattered clouds
111,Port Alfred,ZA,-33.5906,26.891,60.19,93,6,12.71,clear sky
112,Saskylakh,RU,71.9167,114.0833,28.8,96,100,11.03,light snow
113,Mujiayingzi,CN,42.1167,118.7833,51.51,24,0,9.51,clear sky
114,Qaanaaq,GL,77.484,-69.3632,-19.75,73,0,5.75,clear sky
115,Daru,PG,-9.0763,143.2092,86.61,65,76,2.82,broken clouds
116,Punta Arenas,CL,-53.15,-70.9167,44.71,93,75,8.05,broken clouds
117,Bagar,IN,28.1874,75.5005,77.77,33,28,9.89,scattered clouds
118,Katsuura,JP,35.1333,140.3,62.83,67,100,10.74,overcast clouds
119,Coxim,BR,-18.5067,-54.76,67.89,46,0,3.67,clear sky
120,Ouadda,CF,8.0777,22.4007,69.26,91,100,1.59,light rain
121,Bani,DO,18.2833,-70.3333,71.85,84,89,6.22,overcast clouds
122,Praya,CV,14.9215,-23.5087,69.85,80,27,12.08,scattered clouds
123,Barrow,US,71.2906,-156.7887,6.82,78,0,9.22,clear sky
124,Alta Floresta,BR,-9.8756,-56.0861,72.1,96,100,2.46,overcast clouds
125,Plouzane,FR,48.3833,-4.6167,52.12,96,100,5.75,fog
126,Atambua,ID,-9.1061,124.8925,81.81,69,100,0.87,overcast clouds
127,Ikwiriri,TZ,-7.9562,38.9716,72.0,98,83,3.04,broken clouds
128,Uruzgan,AF,32.8333,66.0,62.06,51,100,7.67,overcast clouds
129,Sola,VU,-13.8833,167.55,88.47,74,75,2.3,broken clouds
130,Kodiak,US,57.79,-152.4072,40.51,70,100,11.5,overcast clouds
131,Gat,IL,31.61,34.7642,84.88,11,28,20.83,scattered clouds
132,Iralaya,HN,15.0,-83.2333,79.27,77,15,9.53,few clouds
133,Joao Pinheiro,BR,-17.7425,-46.1725,72.14,62,99,6.76,overcast clouds
134,Sarangani,PH,5.4033,125.4636,82.51,75,82,14.81,broken clouds
135,Edd,ER,13.9297,41.6925,83.23,59,0,5.73,clear sky
136,Harper,LR,4.375,-7.7169,77.65,87,100,0.83,light rain
137,Tripoli,LY,32.8752,13.1875,60.49,76,80,12.95,light rain
138,Dali,CN,25.7,100.1833,61.23,58,70,3.49,broken clouds
139,Hilo,US,19.7297,-155.09,77.29,92,100,4.61,moderate rain
140,Buritis,BR,-15.6178,-46.4233,74.1,74,100,3.0,overcast clouds
141,Les Cayes,HT,18.2,-73.75,75.79,84,83,7.92,broken clouds
142,Synya,RU,65.3718,58.0387,24.35,96,100,6.8,light snow
143,Krasnoselkup,RU,65.7,82.4667,13.66,94,100,13.98,overcast clouds
144,Abha,SA,18.2164,42.5053,62.42,51,20,4.61,few clouds
145,Lazaro Cardenas,MX,17.9583,-102.2,76.39,66,100,3.76,overcast clouds
146,Hasaki,JP,35.7333,140.8333,64.8,66,100,11.39,overcast clouds
147,Amuntai,ID,-2.4177,115.2494,83.86,70,100,2.46,overcast clouds
148,Georgetown,MY,5.4112,100.3354,82.33,94,20,2.3,few clouds
149,Codrington,AU,-38.2667,141.9667,59.09,81,100,11.61,moderate rain
150,Lubango,AO,-14.9172,13.4925,60.93,87,100,3.04,overcast clouds
151,Yakeshi,CN,49.2833,120.7333,46.49,30,97,16.93,overcast clouds
152,Pisco,PE,-13.7,-76.2167,65.01,82,0,14.97,clear sky
153,Mahibadhoo,MV,3.7833,72.9667,83.98,70,78,11.9,broken clouds
154,Mehamn,NO,71.0357,27.8492,39.78,96,100,13.44,overcast clouds
155,Arroyo,ES,41.6096,-4.7969,49.14,72,0,13.8,clear sky
156,Long Beach,US,33.767,-118.1892,77.77,69,0,14.97,clear sky
157,La Oroya,PE,-11.5189,-75.8994,44.26,83,11,3.85,few clouds
158,Margate,GB,51.3813,1.3862,51.69,71,71,1.01,broken clouds
159,Bethel,US,41.3712,-73.414,44.69,49,20,5.75,few clouds
160,Saldanha,ZA,-33.0117,17.9442,55.45,79,24,10.36,few clouds
161,Kamnik,SI,46.2259,14.6121,41.4,69,20,4.61,few clouds
162,Hami,CN,42.8,93.45,58.28,16,0,5.12,clear sky
163,Imeni Poliny Osipenko,RU,52.4201,136.4853,31.35,88,73,4.52,broken clouds
164,Dalby,AU,-27.1833,151.2667,72.59,43,0,7.27,clear sky
165,Isangel,VU,-19.55,169.2667,82.18,73,100,2.35,light rain
166,Tiksi,RU,71.6872,128.8694,3.81,97,94,4.45,overcast clouds
167,Latung,PH,5.5,120.8833,81.9,76,78,2.55,broken clouds
168,Maneadero,MX,31.7167,-116.5667,63.1,79,2,5.99,clear sky
169,Bosaso,SO,11.2842,49.1816,84.04,57,0,5.97,clear sky
170,Porto Novo,BJ,6.4965,2.6036,84.02,90,100,5.14,moderate rain
171,Flin Flon,CA,54.7682,-101.865,28.63,81,100,1.95,overcast clouds
172,Jumla,NP,29.2747,82.1838,52.9,50,98,3.85,overcast clouds
173,Burnie,AU,-41.0667,145.9167,60.1,73,100,7.81,light rain
174,Santa Vitoria Do Palmar,BR,-33.5189,-53.3681,62.76,79,100,6.96,overcast clouds
175,Inhambane,MZ,-23.865,35.3833,72.14,92,79,3.47,light rain
176,Labuhan,ID,-6.8844,112.2051,83.5,78,64,3.56,broken clouds
177,Lorengau,PG,-2.0226,147.2712,83.59,77,23,6.76,few clouds
178,Kieta,PG,-6.2167,155.6333,82.8,75,83,2.75,light rain
179,Kyra,RU,49.5776,111.9753,52.18,36,100,4.63,overcast clouds
180,Nanortalik,GL,60.1432,-45.2371,29.41,89,45,9.91,scattered clouds
181,Fortuna,US,40.5982,-124.1573,56.32,50,20,6.91,few clouds
182,Acapulco,MX,16.8634,-99.8901,82.22,69,0,9.22,clear sky
183,Kaiyuan,CN,23.6977,103.3037,63.3,80,100,3.96,overcast clouds
184,Leningradskiy,RU,69.3833,178.4167,19.4,89,95,5.35,overcast clouds
185,Garh Maharaja,PK,30.8339,71.9053,81.0,16,29,8.5,scattered clouds
186,Antalaha,MG,-14.9003,50.2788,73.35,87,22,6.13,few clouds
187,Faya,SA,18.3851,42.4509,62.71,38,27,3.0,scattered clouds
188,Eureka,US,40.8021,-124.1637,62.74,68,100,8.97,overcast clouds
189,Tazovskiy,RU,67.4667,78.7,9.05,95,100,10.56,overcast clouds
190,Asilah,MA,35.465,-6.0348,60.76,72,100,3.09,overcast clouds
191,Zhangye,CN,38.9342,100.4517,49.1,26,0,7.09,clear sky
192,Banda Aceh,ID,5.5577,95.3222,81.28,77,98,6.04,overcast clouds
193,Chekmagush,RU,55.1319,54.6556,40.78,86,96,3.62,overcast clouds
194,Awbari,LY,26.5921,12.7805,61.54,37,0,7.74,clear sky
195,Chuy,UY,-33.6971,-53.4616,62.04,81,100,6.58,overcast clouds
196,Almeirim,BR,-1.5233,-52.5817,74.35,96,100,3.2,overcast clouds
197,Punta Cardon,VE,11.6581,-70.215,79.68,79,100,17.13,overcast clouds
198,Honiara,SB,-9.4333,159.95,86.11,68,51,8.21,broken clouds
199,Lagoa,PT,39.05,-27.9833,56.97,66,70,16.73,broken clouds
200,Charagua,BO,-19.8,-63.2167,59.9,57,19,4.72,few clouds
201,Tyrma,RU,50.0833,132.1667,37.6,62,4,3.62,clear sky
202,Sioux Lookout,CA,50.1001,-91.917,24.87,86,100,6.91,mist
